dataset,condition,auprc,macro_f1,minority_f1,minority_recall,auroc,brier
COVID-19,Class weighting,0.3515106253449995,0.5332371312429616,0.33399704235574285,0.3906045751633987,0.5901122004357299,0.2325748671634228
COVID-19,Random oversampling,0.3571594182272008,0.5353697884985901,0.33619673687977875,0.388235294117647,0.5982233115468409,0.23017791395475193
COVID-19,Random undersampling,0.33721751662000754,0.5042279522896291,0.3786093456715909,0.5685457516339869,0.5823469498910676,0.2794239002609574
COVID-19,Real only,0.3540740748257657,0.4982047843858607,0.1587060643587468,0.11862745098039215,0.5964335511982571,0.1956036272151368
COVID-19,SMOTE,0.32297222824330674,0.5082042471810724,0.23658272020469684,0.21446078431372548,0.5600375816993464,0.21871710971754602
COVID-19,SepAware CTGAN,0.35415558432895256,0.5412638431564132,0.33480879251666634,0.3823529411764705,0.5924357298474946,0.23127016897757208
COVID-19,SepAware TVAE,0.33213225652133627,0.4948767283520292,0.18277216718380346,0.15294117647058822,0.5753300653594772,0.2132486257233156
COVID-19,Standard CTGAN,0.338984874530888,0.5084690517399397,0.2859506390849178,0.3224673202614379,0.5492521786492375,0.23595791398346708
COVID-19,Standard TVAE,0.34720786887279526,0.5241580883683818,0.23708557528512175,0.20277777777777778,0.5849716775599129,0.21134949095095984
Kidney mortality,Class weighting,0.10781999062413468,0.5253165018647684,0.16235668980718948,0.3787250562931905,0.6515413753467618,0.15652385863106055
Kidney mortality,Random oversampling,0.10721401617982279,0.5285180041237829,0.16639510897217946,0.3691668607811165,0.642976807497213,0.15567741375851238
Kidney mortality,Random undersampling,0.11770521909263688,0.4895247944960169,0.1740192894220384,0.620211196521469,0.6984851813167376,0.22455942356730085
Kidney mortality,Real only,0.12058892196732907,0.48617806912152184,0.0,0.0,0.6984893426925742,0.049765086514771
Kidney mortality,SMOTE,0.0948305534462273,0.5206540890387746,0.1275360999030664,0.25547014519760847,0.6255044250525543,0.13167047877012605
Kidney mortality,SepAware CTGAN,0.11165498334432478,0.5263479375438228,0.11651660536360513,0.17074307011413925,0.6695437633557414,0.09696053067781268
Kidney mortality,SepAware TVAE,0.09746301932577453,0.49890719309374654,0.03416349740504133,0.029955741905427418,0.6450788874882224,0.0616108017167799
Kidney mortality,Standard CTGAN,0.11138862205096976,0.5280880078581921,0.11773150287672658,0.15575743458343036,0.6651991115114104,0.09386578478052651
Kidney mortality,Standard TVAE,0.0980962262732654,0.4983431632969154,0.0314901331732929,0.0253746408882677,0.6457651386499248,0.060018112199338655
Vigitel,Class weighting,0.28670335821973186,0.5736764249738106,0.3455373050596052,0.48088674846156787,0.6749290005285036,0.1999907511531592
Vigitel,Random oversampling,0.2837458388735559,0.5752994197740509,0.35101778053743304,0.4906623858120246,0.6694344609267523,0.20187380105178943
Vigitel,Random undersampling,0.2791757750208983,0.5521437571713712,0.3646261667361275,0.6225555173336391,0.6719952620671866,0.22971022166221688
Vigitel,Real only,0.28778822949666666,0.4631755803932577,0.020582217056487172,0.010835148874364533,0.6756445237917365,0.134014033301699
Vigitel,SMOTE,0.23657065202252928,0.5062600426084529,0.17353952446267623,0.20798838053740012,0.6264425760589348,0.17545357889008983
Vigitel,SepAware CTGAN,0.24975884151855243,0.527027416323721,0.21509485338019962,0.24844704353476282,0.6369322651385623,0.17567916421306012
Vigitel,SepAware TVAE,0.2516876975905907,0.48737208819524663,0.09344071872965436,0.0813431181439437,0.6366257403536805,0.15284182618773975
Vigitel,Standard CTGAN,0.2366071350497814,0.5081141739140549,0.17528957006056464,0.2096747314910369,0.6254106742994379,0.17566354964491374
Vigitel,Standard TVAE,0.2525712800614865,0.49293896584359326,0.10668572199137058,0.09727401291900772,0.6393519416511635,0.15395826896011924
Vigitel smoking,Class weighting,0.2946735664296871,0.5741418885935077,0.29750996465788504,0.45224961389398843,0.7325424618251744,0.16445098794385304
Vigitel smoking,Random oversampling,0.2898801907974475,0.5816472931280836,0.31327000793467696,0.4657808083457179,0.7277266667251917,0.16507436727467945
Vigitel smoking,Random undersampling,0.28296932950059067,0.5582701512969458,0.3309637269127624,0.6517280065273771,0.7263720591304434,0.21005417105424445
Vigitel smoking,Real only,0.2991208286763698,0.4968821836013986,0.05957793305291288,0.03265291255063085,0.734801576796882,0.09864897329719179
Vigitel smoking,SMOTE,0.2324113883272022,0.5396979757655184,0.1857523081639114,0.18938135617915314,0.6822959464731413,0.13390796104218522
Vigitel smoking,SepAware CTGAN,0.2577974339248194,0.5766758604917089,0.26805387333637626,0.30556575458227697,0.7023592496249321,0.13998399546956738
Vigitel smoking,SepAware TVAE,0.25883339897891866,0.5285472090366912,0.13446507646554492,0.10156919311128593,0.7077495886774287,0.11004833716372657
Vigitel smoking,Standard CTGAN,0.22060456763053765,0.5387497093737614,0.20011708598122982,0.23394964594807238,0.66300559092426,0.147565478887161
Vigitel smoking,Standard TVAE,0.2515703240510891,0.524706843824885,0.128459979417891,0.09778389719381061,0.7049906623900026,0.11112484206361872
